,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2F38Uc4UNNbFVdyUUnBjOA,categories:themedcafes,region:Central,categories:coffeeroasteries,categories:themedcafes,categories:themedcafes,categories:themedcafes,categories:themedcafes,region:Northeast,categories:themedcafes,categories:themedcafes,categories:themedcafes,categories:coffeeroasteries,categories:coffeeroasteries,region:Northeast,categories:themedcafes,categories:themedcafes,region:Northeast,categories:coffeeroasteries,categories:themedcafes,categories:themedcafes
2HchhLgGj16aITZGVy0hqA,categories:sandwiches,region:Southeast,region:Southeast,categories:sandwiches,categories:sandwiches,region:Northeast,price:price$$$$,region:Northeast,region:Southeast,region:Southeast,region:Southeast,region:Northeast,region:Northeast,price:price$$$$,categories:sandwiches,categories:sandwiches,region:Southeast,categories:sandwiches,region:Northeast,categories:sandwiches
2M1e-8uHpNVcerx_yPPI_g,categories:coffeeroasteries,categories:coffeeroasteries,categories:coffeeroasteries,categories:coffeeroasteries,categories:coffeeroasteries,categories:coffeeroasteries,categories:coffeeroasteries,categories:sandwiches,price:price$$$,categories:icecream,price:price$$$,categories:coffeeroasteries,price:price$$$,categories:icecream,price:price$$$,categories:coffeeroasteries,categories:sandwiches,categories:sandwiches,categories:coffeeroasteries,categories:coffeeroasteries
2WM3DmJG-wUrndxkMVtRsQ,categories:coffeeroasteries,categories:bakeries,categories:bakeries,price:price$$$$,categories:coffeeroasteries,categories:coffeeroasteries,categories:coffeeroasteries,categories:bakeries,categories:coffeeroasteries,categories:coffeeroasteries,categories:bakeries,categories:bakeries,price:price$$$$,categories:coffeeroasteries,region:Central,categories:coffeeroasteries,categories:sandwiches,categories:coffeeroasteries,categories:bakeries,categories:coffeeroasteries
2aJZEdicQUqqOQG5-pwe-Q,categories:coffeeroasteries,categories:coffeeroasteries,categories:coffeeroasteries,categories:bakeries,categories:coffeeroasteries,categories:coffeeroasteries,categories:coffeeroasteries,categories:coffeeroasteries,categories:coffeeroasteries,categories:breakfast_brunch,price:price$$$$,categories:coffeeroasteries,categories:coffeeroasteries,categories:coffeeroasteries,categories:bakeries,categories:coffeeroasteries,price:price$$$$,price:price$$$$,categories:coffeeroasteries,categories:coffeeroasteries
2arW6KJ-BAoAfNrYC7zaPA,region:Northwest,categories:bakeries,region:Southwest,price:price$$$$,region:Northwest,categories:coffeeroasteries,categories:coffeeroasteries,categories:bakeries,categories:coffeeroasteries,region:Northwest,categories:coffeeroasteries,price:price$$$$,region:Northwest,categories:bakeries,region:Southwest,region:Northwest,categories:coffeeroasteries,region:Northwest,price:price$$$$,region:Southwest
2jTqpqHAQnIzIfwHdaOiqQ,price:price$$$$,region:Southeast,region:Northwest,categories:bakeries,categories:bakeries,price:price$$$$,region:Southeast,price:price$$$$,price:price$,region:Northwest,price:price$$$$,price:price$,region:Northwest,price:price$$$$,price:price$$$$,categories:bakeries,region:Northwest,categories:bakeries,price:price$$$$,region:Northwest
2mE_9VmYIoUrf78R2decIQ,categories:coffeeroasteries,categories:coffeeroasteries,categories:bakeries,categories:coffeeroasteries,categories:bakeries,price:price$$$$,categories:coffeeroasteries,categories:coffeeroasteries,categories:coffeeroasteries,categories:coffeeroasteries,region:Northwest,categories:coffeeroasteries,region:Northwest,categories:bakeries,categories:bakeries,region:Northwest,categories:coffeeroasteries,categories:bakeries,region:Northwest,categories:coffeeroasteries
2zbO5Cpuu0svXn3br0T84Q,region:Northwest,categories:bakeries,region:Northwest,categories:bakeries,categories:coffeeroasteries,region:Northwest,region:Northwest,price:price$$$,categories:coffeeroasteries,categories:coffeeroasteries,categories:coffeeroasteries,price:price$$$,region:Northwest,categories:bakeries,categories:coffeeroasteries,categories:bakeries,categories:coffeeroasteries,categories:bakeries,categories:coffeeroasteries,categories:coffeeroasteries
37veRneM-BBpXzSNw-jCGw,price:price$$$,price:price$$$,region:Southwest,price:price$$$,categories:desserts,region:Northwest,region:Northwest,price:price$$$,region:Southwest,region:Southwest,region:Northwest,region:Southwest,categories:desserts,region:Southwest,price:price$$$,price:price$$$,price:price$$$,price:price$$$,categories:juicebars,price:price$$$
