,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2M1e-8uHpNVcerx_yPPI_g,coffeeroasteries:1,price_3:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,price_3:1,coffeeroasteries:1,price_3:1,coffeeroasteries:1,bars:1,bars:1,coffeeroasteries:1,coffeeroasteries:1,bars:1,coffeeroasteries:1,bars:1,price_3:1,price_3:1,bars:1
2WM3DmJG-wUrndxkMVtRsQ,coffeeroasteries:1,coffeeroasteries:1,bakeries:1,bakeries:1,bakeries:1,Northwest:1,bakeries:1,coffeeroasteries:1,bakeries:1,bakeries:1,Northwest:1,coffeeroasteries:1,bakeries:1,bakeries:1,Northwest:1,bakeries:1,bakeries:1,bakeries:1,bakeries:1,bakeries:1
2aJZEdicQUqqOQG5-pwe-Q,coffeeroasteries:1,Southeast:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,bars:1,Southeast:1,price_3:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,bars:1,coffeeroasteries:1,bars:1,bars:1,bars:1
2arW6KJ-BAoAfNrYC7zaPA,Northwest:1,Northwest:1,bakeries:1,Northwest:1,Northwest:1,Central:0,bakeries:1,bakeries:1,Northwest:1,bakeries:1,Northwest:1,Northwest:1,Central:0,price_4:1,Northwest:1,Central:0,Central:0,Northwest:1,Northwest:1,Northwest:1
2jTqpqHAQnIzIfwHdaOiqQ,bakeries:1,juicebars:1,Northwest:1,Northwest:1,Northwest:1,Northwest:1,bakeries:1,bakeries:1,Northwest:1,bakeries:1,bakeries:1,themedcafes:1,Northwest:1,Northwest:1,bakeries:1,Northwest:1,bakeries:1,Northwest:1,bakeries:1,Northwest:1
2mE_9VmYIoUrf78R2decIQ,Central:1,Northwest:1,bakeries:1,bakeries:1,Northwest:1,bakeries:1,bakeries:1,Northwest:1,Northwest:1,bakeries:1,Northwest:1,desserts:1,bakeries:1,bakeries:1,desserts:1,bakeries:1,bakeries:1,Northwest:1,bakeries:1,Northwest:1
2zbO5Cpuu0svXn3br0T84Q,Northwest:1,bakeries:1,coffeeroasteries:1,Northwest:1,coffeeroasteries:1,bakeries:1,bakeries:1,bakeries:1,Northwest:1,bars:1,bars:1,Northwest:1,bakeries:1,bars:1,Northwest:1,coffeeroasteries:1,bakeries:1,bakeries:1,Northwest:1,price_3:1
37veRneM-BBpXzSNw-jCGw,coffeeroasteries:1,Northwest:1,coffeeroasteries:1,bakeries:1,bakeries:1,bakeries:1,bars:1,bakeries:1,bars:1,price_3:1,Northwest:1,price_3:1,bars:1,coffeeroasteries:1,coffeeroasteries:1,Northwest:1,Southeast:1,bars:1,bakeries:1,coffeeroasteries:1
3CDr4arjc3-u5XSUqIkjig,Northwest:1,price_3:1,price_4:1,Northwest:1,Northwest:1,price_3:1,Northwest:1,bars:1,Northwest:1,price_3:1,price_3:1,Northwest:1,desserts:1,Northwest:1,Northwest:1,bars:1,Northwest:1,bars:1,Northwest:1,price_3:1
3KYixk4HwDBFFBwws__tkw,coffeeroasteries:1,Northwest:1,bakeries:1,bakeries:1,Northwest:1,coffeeroasteries:1,bakeries:1,bakeries:1,Northwest:1,Northwest:1,bakeries:1,bakeries:1,Northwest:1,bakeries:1,Northwest:1,bakeries:1,coffeeroasteries:1,Northwest:1,bakeries:1,bakeries:1
